symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2022-02-28 00:00:00-05,815.01,876.86,814.7075,870.43,34573104.0,875788.0,857.554879
TSLA,2022-03-01 00:00:00-05,869.68,889.88,853.78,864.37,25524100.0,673282.0,867.715567
TSLA,2022-03-02 00:00:00-05,872.13,886.48,844.2721,879.89,25410504.0,692962.0,866.505267
TSLA,2022-03-03 00:00:00-05,878.77,886.439,832.6001,839.29,21370587.0,646507.0,853.683737
TSLA,2022-03-04 00:00:00-05,849.1,855.65,825.1609,838.29,23109623.0,596429.0,839.896716
TSLA,2022-03-07 00:00:00-05,856.3,866.14,804.57,804.58,25059944.0,699901.0,829.763611
TSLA,2022-03-08 00:00:00-05,795.53,849.99,782.17,824.4,27487604.0,737840.0,822.172323
TSLA,2022-03-09 00:00:00-05,839.48,860.56,832.01,858.97,20498396.0,546175.0,850.876165
TSLA,2022-03-10 00:00:00-05,851.45,854.45,810.3601,838.3,20063332.0,571420.0,830.582603
TSLA,2022-03-11 00:00:00-05,840.197,843.802,793.77,795.35,22925892.0,745310.0,807.782588
TSLA,2022-03-14 00:00:00-04,780.61,800.7,756.04,766.37,23877641.0,783856.0,773.629565
TSLA,2022-03-15 00:00:00-04,775.27,805.57,756.57,801.89,23050106.0,620160.0,789.39242
TSLA,2022-03-16 00:00:00-04,808.0,842.0,802.2601,840.23,29157682.0,751557.0,828.44182
TSLA,2022-03-17 00:00:00-04,830.99,875.0,825.7178,871.6,23314040.0,608932.0,858.260284
TSLA,2022-03-18 00:00:00-04,874.49,907.85,867.39,905.39,39999104.0,699105.0,897.603371
TSLA,2022-03-21 00:00:00-04,914.98,942.85,907.09,921.16,28061022.0,746493.0,922.488732
TSLA,2022-03-22 00:00:00-04,930.0,997.86,921.75,993.98,36121584.0,940961.0,965.010221
TSLA,2022-03-23 00:00:00-04,979.94,1040.7,976.4,999.11,40787949.0,1124239.0,1009.381433
TSLA,2022-03-24 00:00:00-04,1009.73,1024.49,988.8,1013.92,23756993.0,684000.0,1009.061934
TSLA,2022-03-25 00:00:00-04,1008.0,1021.7999,997.3201,1010.64,21175103.0,591085.0,1007.608009
TSLA,2022-03-28 00:00:00-04,1065.1,1097.8799,1053.6,1091.84,35642519.0,1109118.0,1081.114336
TSLA,2022-03-29 00:00:00-04,1107.99,1114.77,1073.11,1099.57,25381550.0,831063.0,1096.391355
TSLA,2022-03-30 00:00:00-04,1091.17,1113.95,1084.0,1093.99,20431173.0,597501.0,1098.754066
TSLA,2022-03-31 00:00:00-04,1094.57,1103.1399,1076.641,1077.6,17280959.0,509543.0,1088.266474
TSLA,2022-04-01 00:00:00-04,1081.15,1094.75,1066.64,1084.59,18520119.0,546383.0,1081.437277
TSLA,2022-04-04 00:00:00-04,1089.38,1149.91,1072.53,1145.45,28012251.0,859375.0,1123.290545
TSLA,2022-04-05 00:00:00-04,1136.3,1152.87,1087.3,1091.26,27191070.0,859309.0,1113.655916
TSLA,2022-04-06 00:00:00-04,1073.47,1079.0,1027.7,1045.76,29995068.0,963154.0,1047.330834
